"File","ChangedLines","AddedLines","RemovedLines","OnlyBlankLineDeletes"
"app/__init__.py","2","0","2","True"
"app/account/routes.py","3","3","0","False"
"app/admin/ai_phase10_routes.py","2","0","2","True"
"app/admin/ai_phase11_routes.py","6","0","6","True"
"app/admin/ai_phase2_routes.py","2","0","2","True"
"app/admin/ai_phase5_routes.py","2","0","2","True"
"app/admin/ai_phase6_routes.py","4","0","4","True"
"app/admin/ai_phase7_routes.py","3","0","3","True"
"app/admin/ai_phase8_routes.py","3","0","3","True"
"app/admin/ai_phase9_routes.py","3","0","3","True"
"app/admin/ai_routes.py","14","0","14","True"
"app/admin/go_live_routes.py","2","0","2","True"
"app/admin/hierarchy_governance_routes.py","2","0","2","True"
"app/admin/ops_routes.py","2","0","2","True"
"app/admin/route_manifest.py","2","0","2","True"
"app/admin/routes.py","6","0","6","True"
"app/ai/routes.py","2","0","2","True"
"app/ai_agent/routes.py","8","0","8","True"
"app/communication/announcements_routes.py","2","0","2","True"
"app/communication/corporate_information_center_routes.py","2","0","2","True"
"app/communication/daily_weather_mail_routes.py","4","0","4","True"
"app/communication/executive_mail_center_routes.py","2","0","2","True"
"app/communication/feedback_routes.py","2","0","2","True"
"app/communication/messages_routes.py","7","0","7","True"
"app/communication/notifications_routes.py","2","0","2","True"
"app/communication/phase1_routes.py","2","0","2","True"
"app/communication/phase2_routes.py","2","0","2","True"
"app/communication/phase3_routes.py","2","0","2","True"
"app/communication/phase4_routes.py","2","0","2","True"
"app/communication/phase5_routes.py","2","0","2","True"
"app/communication/phase8_routes.py","2","0","2","True"
"app/communication/phase9_routes.py","2","0","2","True"
"app/communication/phase9a_routes.py","2","0","2","True"
"app/communication/phase9b_routes.py","2","0","2","True"
"app/communication/phase9c_routes.py","2","0","2","True"
"app/communication/phase9d_routes.py","2","0","2","True"
"app/communication/route_manifest.py","2","0","2","True"
"app/communication/routes.py","4","0","4","True"
"app/communication/shared.py","2","0","2","True"
"app/communication/surveys_routes.py","2","0","2","True"
"app/dashboard/executive_summary_routes.py","2","0","2","True"
"app/executive_summary/mail_engine.py","2","0","2","True"
"app/executive_summary/routes.py","2","0","2","True"
"app/executive_summary/service.py","2","0","2","True"
"app/institutional/hr_common.py","5","0","5","True"
"app/institutional/hr_form_helpers.py","5","0","5","True"
"app/institutional/hr_leave_attendance_routes.py","5","0","5","True"
"app/institutional/hr_personnel_extension_routes.py","2","0","2","True"
"app/institutional/hr_personnel_operations_routes.py","2","0","2","True"
"app/institutional/hr_personnel_phase10_routes.py","2","0","2","True"
"app/institutional/hr_personnel_phase11_routes.py","3","0","3","True"
"app/institutional/hr_personnel_phase12_routes.py","2","0","2","True"
"app/institutional/hr_personnel_phase13_routes.py","2","0","2","True"
"app/institutional/hr_reports_routes.py","2","0","2","True"
"app/institutional/hr_request_analytics_routes.py","2","0","2","True"
"app/institutional/hr_request_task_routes.py","2","0","2","True"
"app/institutional/hr_scope_helpers.py","5","0","5","True"
"app/institutional/publication_routes.py","4","0","4","True"
"app/institutional/route_manifest.py","2","0","2","True"
"app/institutional/routes.py","3","0","3","True"
"app/main_handlers/about_handlers.py","2","0","2","True"
"app/main_handlers/account_communication_helpers.py","12","0","12","True"
"app/main_handlers/account_handlers.py","2","0","2","True"
"app/main_handlers/account_settings_helpers.py","5","0","5","True"
"app/main_handlers/account_visibility_helpers.py","10","0","10","True"
"app/main_handlers/auth_handlers.py","4","0","4","True"
"app/main_handlers/comparison_handlers.py","2","0","2","True"
"app/main_handlers/dashboard_handlers.py","2","0","2","True"
"app/main_handlers/public_handlers.py","2","0","2","True"
"app/menu_registry.py","2","0","2","True"
"app/menu_registry_data_performance.py","3","1","2","False"
"app/models/ai_models.py","2","0","2","True"
"app/models/communication_phase1_models.py","2","0","2","True"
"app/models/communication_phase2_models.py","2","0","2","True"
"app/models/communication_phase3_models.py","2","0","2","True"
"app/models/communication_phase4_models.py","2","0","2","True"
"app/models/hr_models.py","9","0","9","True"
"app/models/performance_low_score_models.py","2","0","2","True"
"app/models/performance_process_engine_models.py","2","0","2","True"
"app/models/portal_models.py","5","0","5","True"
"app/modules/strategic_performance/routes.py","2","0","2","True"
"app/performance/assignment_rule_routes.py","2","0","2","True"
"app/performance/core_health_routes.py","2","0","2","True"
"app/performance/engagement_feedback_routes.py","5","0","5","True"
"app/performance/engagement_mail_routes.py","2","0","2","True"
"app/performance/evaluation_core_routes.py","9","0","9","True"
"app/performance/feedback_aftercare_routes.py","4","0","4","True"
"app/performance/feedback_corporate_cleanup_phase6_routes.py","2","0","2","True"
"app/performance/feedback_final_gate_phase5_routes.py","2","0","2","True"
"app/performance/feedback_followup_phase4_routes.py","2","0","2","True"
"app/performance/feedback_integration_routes.py","2","0","2","True"
"app/performance/feedback_meeting_guide_routes.py","2","0","2","True"
"app/performance/feedback_pipeline_routes.py","2","0","2","True"
"app/performance/low_score_process_routes.py","2","0","2","True"
"app/performance/meeting_development_faz3_routes.py","2","0","2","True"
"app/performance/meeting_development_faz4_routes.py","2","0","2","True"
"app/performance/meeting_development_routes.py","2","0","2","True"
"app/performance/meeting_final_closure_routes.py","2","0","2","True"
"app/performance/meeting_p0_completion_routes.py","2","0","2","True"
"app/performance/meeting_p1_scope_routes.py","2","0","2","True"
"app/performance/meeting_p2_archive_notes_routes.py","2","0","2","True"
"app/performance/meeting_p3_reminders_routes.py","2","0","2","True"
"app/performance/meeting_rule_enforcement_routes.py","2","0","2","True"
"app/performance/meeting_test_routes.py","2","0","2","True"
"app/performance/performance_archive_routes.py","3","0","3","True"
"app/performance/personnel_support_publish_approval_routes.py","2","0","2","True"
"app/performance/president_approval_card_routes.py","2","0","2","True"
"app/performance/process_engine_phase6_president_approvals_routes.py","2","0","2","True"
"app/performance/process_engine_phase8_tracking_routes.py","2","0","2","True"
"app/performance/reporting_routes.py","2","0","2","True"
"app/performance/routes.py","4","0","4","True"
"app/performance/rules/performance_manager_rules_contract.py","3","0","3","True"
"app/performance/v2_1_11_evaluator_reminder_center_routes.py","20","14","6","False"
"app/performance/v2_1_7_period_management_center_routes.py","4","0","4","False"
"app/performance/v2_routes.py","5","0","5","True"
"app/route_support.py","10","0","10","True"
"app/routes.py","5","0","5","True"
"app/services/ai/admin_queue.py","2","0","2","True"
"app/services/ai/audit.py","2","0","2","True"
"app/services/ai/client.py","2","0","2","True"
"app/services/ai/dashboard_panel_common.py","2","0","2","True"
"app/services/ai/dashboard_panel_operations.py","2","0","2","True"
"app/services/ai/dashboard_runtime.py","4","0","4","True"
"app/services/ai/executive_report_exports.py","2","0","2","True"
"app/services/ai/executive_reporting.py","3","0","3","True"
"app/services/ai/final_live_hardening.py","2","0","2","True"
"app/services/ai/go_live.py","2","0","2","True"
"app/services/ai/governance.py","12","0","12","True"
"app/services/ai/governance_settings.py","3","0","3","True"
"app/services/ai/guardrails.py","2","0","2","True"
"app/services/ai/history_compare.py","28","0","28","True"
"app/services/ai/hr.py","2","0","2","True"
"app/services/ai/localization.py","2","0","2","True"
"app/services/ai/notification_priority.py","2","0","2","True"
"app/services/ai/performance.py","4","0","4","True"
"app/services/ai/preflight.py","4","0","4","True"
"app/services/ai/prompts.py","2","0","2","True"
"app/services/ai/quality.py","2","0","2","True"
"app/services/ai/query_adapters.py","2","0","2","True"
"app/services/ai/recommendation_priority.py","2","0","2","True"
"app/services/ai/redaction.py","2","0","2","True"
"app/services/ai/schema_guard.py","2","0","2","True"
"app/services/ai/settings.py","2","0","2","True"
"app/services/ai/smoke.py","4","0","4","True"
"app/services/ai/stub_engine.py","2","0","2","True"
"app/services/ai/support.py","2","0","2","True"
"app/services/ai/visibility_gate.py","2","0","2","True"
"app/services/ai/visual_reports.py","2","0","2","True"
"app/services/ai/weekly_summary.py","3","0","3","True"
"app/services/architecture_consolidation_service.py","2","0","2","True"
"app/services/communication_phase1_service.py","2","0","2","True"
"app/services/communication_phase2_service.py","2","0","2","True"
"app/services/communication_phase3_service.py","2","0","2","True"
"app/services/communication_phase4_service.py","5","0","5","True"
"app/services/communication_phase5_service.py","2","0","2","True"
